#time,accel_x,accel_y,accel_z
916.657190,444.123565,-222.061783,-9729.412825
916.657510,222.061783,0.000000,-10265.679673
916.657831,518.144159,888.247130,-9882.631924
916.658151,296.082377,740.205942,-9882.631924
916.658471,74.020594,814.226536,-10112.460574
916.658791,222.061783,592.164754,-10189.070123
916.659112,592.164754,222.061783,-10878.556072
916.659432,592.164754,0.000000,-10035.851024
916.659752,740.205942,0.000000,-9959.241474
916.660072,962.267725,0.000000,-10035.851024
916.660393,1036.288319,666.185348,-10112.460574
916.660713,962.267725,740.205942,-10189.070123
916.661033,518.144159,370.102971,-10189.070123
916.661353,666.185348,74.020594,-10112.460574
916.661673,888.247130,-148.041188,-10342.289223
916.661994,-888.247130,518.144159,-9959.241474
916.662314,-1036.288319,444.123565,-9882.631924
916.662634,0.000000,370.102971,-10189.070123
916.662954,370.102971,296.082377,-10112.460574
916.663275,666.185348,444.123565,-9806.022374
916.663595,962.267725,-666.185348,-10112.460574
916.663915,1184.329507,-370.102971,-9959.241474
916.664235,1554.432478,-370.102971,-10572.117872
916.664556,1110.308913,0.000000,-10189.070123
916.664876,0.000000,814.226536,-9806.022374
916.665196,-518.144159,0.000000,-10112.460574
916.665516,-370.102971,0.000000,-9729.412825
916.665837,-296.082377,-370.102971,-10418.898773
916.666157,-740.205942,-592.164754,-9959.241474
916.666477,-740.205942,-1036.288319,-10342.289223
916.666797,0.000000,-740.205942,-10112.460574
916.667118,592.164754,-296.082377,-9959.241474
916.667438,0.000000,-370.102971,-10342.289223
916.667758,0.000000,-666.185348,-9269.755526
916.668078,296.082377,-1036.288319,-10112.460574
916.668399,148.041188,-1332.370696,-9882.631924
916.668719,-888.247130,-1628.453072,-9806.022374
916.669039,-1628.453072,-1628.453072,-10189.070123
916.669359,-1258.350101,-1702.473667,-10572.117872
916.669680,-1184.329507,-1554.432478,-9882.631924
916.670000,-1924.535449,-1628.453072,-10265.679673
916.670320,-2516.700203,-1924.535449,-9959.241474
916.670640,-1036.288319,-2516.700203,-9882.631924
916.670960,-518.144159,-1924.535449,-10035.851024
916.671281,-370.102971,-1332.370696,-9882.631924
916.671601,-962.267725,-1480.411884,-10342.289223
916.671921,-666.185348,-1332.370696,-10035.851024
916.672241,-296.082377,-1332.370696,-10112.460574
916.672562,-148.041188,-1184.329507,-10112.460574
916.672882,-1554.432478,-1850.514855,-10418.898773
916.673202,-3034.844362,-2886.803174,-9882.631924
916.673522,-3404.947333,-2960.823768,-9806.022374
916.673843,-2812.782580,-3182.885551,-10035.851024
916.674163,-2368.659014,-2812.782580,-9959.241474
916.674483,-2516.700203,-2960.823768,-10112.460574
916.674803,-2146.597232,-2516.700203,-9882.631924
916.675124,-888.247130,-2294.638420,-10112.460574
916.675444,1036.288319,-1628.453072,-10342.289223
916.675764,1110.308913,-814.226536,-10418.898773
916.676084,0.000000,-518.144159,-10648.727422
916.676405,-1924.535449,-666.185348,-10648.727422
916.676725,-3256.906145,-2294.638420,-10112.460574
916.677045,-4515.256246,-3256.906145,-10112.460574
916.677365,-5921.647536,-4293.194464,-9576.193725
916.677686,-5181.441594,-5107.421000,-8810.098227
916.678006,-2960.823768,-5181.441594,-9499.584175
916.678326,-592.164754,-4145.153275,-9806.022374
916.678646,740.205942,-2442.679609,-10265.679673
916.678967,740.205942,-222.061783,-10112.460574
916.679287,1332.370696,1332.370696,-10342.289223
916.679607,2368.659014,1628.453072,-10265.679673
916.679927,2220.617826,1110.308913,-10342.289223
916.680247,888.247130,-666.185348,-10495.508323
916.680568,-1480.411884,-2516.700203,-9959.241474
916.680888,-3923.091493,-3478.967927,-10189.070123
916.681208,-5551.544565,-3775.050304,-9806.022374
916.681528,-6069.688724,-3997.112087,-9422.974625
916.681849,-4959.379811,-4515.256246,-9499.584175
916.682169,-1776.494261,-4589.276840,-9422.974625
916.682489,518.144159,-3256.906145,-10112.460574
916.682809,2072.576638,-1036.288319,-10189.070123
916.683130,3330.926739,1406.391290,-10418.898773
916.683450,4367.215058,2738.761985,-11951.089769
916.683770,4071.132681,3775.050304,-11414.822920
916.684090,1406.391290,2590.720797,-11108.384721
916.684411,-3108.864956,-296.082377,-10801.946522
916.684731,-5773.606348,-3256.906145,-10112.460574
916.685051,-6217.729913,-5477.523971,-9652.803275
916.685371,-5033.400406,-6735.874072,-9882.631924
916.685692,-4293.194464,-6587.832884,-9116.536426
916.686012,-3256.906145,-3997.112087,-9499.584175
916.686332,-1332.370696,0.000000,-9959.241474
916.686652,1702.473667,2220.617826,-10648.727422
916.686973,2368.659014,3923.091493,-10418.898773
916.687293,2738.761985,3627.009116,-10801.946522
916.687613,3330.926739,1850.514855,-10342.289223
916.687933,2886.803174,0.000000,-10495.508323
916.688254,518.144159,-1554.432478,-10342.289223
916.688574,-2590.720797,-2590.720797,-9576.193725
916.688894,-4441.235652,-2886.803174,-9576.193725
916.689214,-5551.544565,-3775.050304,-9806.022374
916.689535,-7402.059420,-5403.503377,-9422.974625
916.689855,-7179.997637,-6809.894666,-8656.879127
916.690175,-3775.050304,-6883.915261,-8580.269578
916.690495,1406.391290,-4293.194464,-9729.412825
916.690815,3997.112087,0.000000,-10035.851024
916.691136,3034.844362,2960.823768,-10418.898773
916.691456,1924.535449,4219.173869,-10495.508323
916.691776,1998.556043,3478.967927,-10725.336972
916.692096,2442.679609,444.123565,-10801.946522
916.692417,814.226536,-2664.741391,-10725.336972
916.692737,-3108.864956,-5255.462188,-10495.508323
916.693057,-6809.894666,-5181.441594,-10189.070123
916.693377,-9030.512492,-3923.091493,-9652.803275
916.693698,-9770.718434,-2590.720797,-9806.022374
916.694018,-6513.812290,-3701.029710,-9729.412825
916.694338,-2368.659014,-4885.359217,-9806.022374
916.694658,1036.288319,-4367.215058,-10342.289223
916.694979,1924.535449,-1036.288319,-10955.165621
916.695299,2960.823768,1850.514855,-10878.556072
916.695619,3849.070898,3923.091493,-11031.775171
916.695939,3923.091493,4441.235652,-10801.946522
916.696260,2294.638420,2664.741391,-10342.289223
916.696580,-1332.370696,-962.267725,-10648.727422
916.696900,-5551.544565,-4441.235652,-10495.508323
916.697220,-7328.038826,-6883.915261,-9652.803275
916.697541,-7550.100608,-8808.450710,-9039.926876
916.697861,-5921.647536,-9918.759623,-8580.269578
916.698181,-4959.379811,-9696.697840,-8733.488677
916.698501,-3404.947333,-5625.565159,-8963.317327
