#time,accel_x,accel_y,accel_z
947.205811,370.102971,888.247130,-9959.241474
947.206131,0.000000,370.102971,-9882.631924
947.206451,148.041188,74.020594,-9882.631924
947.206771,518.144159,0.000000,-9882.631924
947.207091,370.102971,74.020594,-10112.460574
947.207410,666.185348,222.061783,-10035.851024
947.207730,518.144159,444.123565,-10112.460574
947.208050,740.205942,740.205942,-9959.241474
947.208370,962.267725,814.226536,-9422.974625
947.208690,814.226536,222.061783,-9806.022374
947.209010,518.144159,-444.123565,-9959.241474
947.209329,370.102971,-444.123565,-9882.631924
947.209649,592.164754,0.000000,-10189.070123
947.209969,148.041188,444.123565,-9806.022374
947.210289,296.082377,592.164754,-10112.460574
947.210609,222.061783,740.205942,-9806.022374
947.210929,518.144159,222.061783,-9959.241474
947.211248,888.247130,888.247130,-10035.851024
947.211568,592.164754,0.000000,-10112.460574
947.211888,592.164754,0.000000,-10189.070123
947.212208,518.144159,296.082377,-9959.241474
947.212528,296.082377,962.267725,-11031.775171
947.212848,296.082377,888.247130,-10265.679673
947.213167,444.123565,666.185348,-10112.460574
947.213487,444.123565,0.000000,-10265.679673
947.213807,666.185348,-296.082377,-10189.070123
947.214127,666.185348,518.144159,-9652.803275
947.214447,370.102971,370.102971,-9959.241474
947.214766,370.102971,888.247130,-9959.241474
947.215086,370.102971,888.247130,-10112.460574
947.215406,592.164754,814.226536,-10035.851024
947.215726,888.247130,222.061783,-9882.631924
947.216046,1036.288319,-148.041188,-10189.070123
947.216366,814.226536,-148.041188,-9882.631924
947.216685,0.000000,-222.061783,-10265.679673
947.217005,74.020594,0.000000,-8963.317327
947.217325,444.123565,296.082377,-9882.631924
947.217645,740.205942,222.061783,-10265.679673
947.217965,0.000000,296.082377,-9882.631924
947.218285,0.000000,296.082377,-9882.631924
947.218604,888.247130,74.020594,-9882.631924
947.218924,1480.411884,0.000000,-10035.851024
947.219244,370.102971,370.102971,-10035.851024
947.219564,-148.041188,-148.041188,-9959.241474
947.219884,0.000000,-148.041188,-9806.022374
947.220204,666.185348,0.000000,-9882.631924
947.220523,74.020594,-222.061783,-10418.898773
947.220843,-444.123565,-814.226536,-10035.851024
947.221163,-518.144159,-370.102971,-9959.241474
947.221483,0.000000,-370.102971,-9882.631924
947.221803,-222.061783,-74.020594,-10035.851024
947.222123,-814.226536,0.000000,-10265.679673
947.222442,-592.164754,-296.082377,-10035.851024
947.222762,0.000000,-518.144159,-10112.460574
947.223082,-444.123565,-888.247130,-10035.851024
947.223402,-1258.350101,-1406.391290,-9882.631924
947.223722,-962.267725,-1554.432478,-9806.022374
947.224042,-296.082377,-1406.391290,-9959.241474
