#time,accel_x,accel_y,accel_z
884.047885,1332.370696,-296.082377,-9959.241474
884.048205,444.123565,74.020594,-9959.241474
884.048525,666.185348,148.041188,-10112.460574
884.048845,444.123565,222.061783,-10112.460574
884.049165,222.061783,296.082377,-9882.631924
884.049486,222.061783,222.061783,-10035.851024
884.049806,444.123565,74.020594,-10035.851024
884.050126,370.102971,0.000000,-9959.241474
884.050446,740.205942,222.061783,-9806.022374
884.050767,888.247130,444.123565,-9959.241474
884.051087,1110.308913,296.082377,-10112.460574
884.051407,518.144159,222.061783,-10035.851024
884.051727,444.123565,296.082377,-9882.631924
884.052047,444.123565,-296.082377,-9346.365076
884.052368,740.205942,0.000000,-10189.070123
884.052688,740.205942,0.000000,-10342.289223
884.053008,-148.041188,222.061783,-9882.631924
884.053328,-296.082377,518.144159,-10035.851024
884.053648,148.041188,1036.288319,-9806.022374
884.053969,814.226536,592.164754,-10035.851024
884.054289,518.144159,444.123565,-10418.898773
884.054609,-296.082377,74.020594,-10189.070123
884.054929,444.123565,-222.061783,-10112.460574
884.055249,814.226536,148.041188,-10189.070123
884.055570,592.164754,0.000000,-10189.070123
884.055890,-444.123565,-518.144159,-10342.289223
884.056210,-740.205942,0.000000,-9959.241474
884.056530,0.000000,-370.102971,-9882.631924
884.056850,-222.061783,-518.144159,-10342.289223
884.057171,-814.226536,-666.185348,-10112.460574
884.057491,-1036.288319,-740.205942,-10035.851024
884.057811,0.000000,-666.185348,-10112.460574
884.058131,-444.123565,0.000000,-10035.851024
884.058451,-1110.308913,-592.164754,-10035.851024
884.058772,-1036.288319,-962.267725,-9806.022374
884.059092,-592.164754,-1184.329507,-10189.070123
884.059412,-1776.494261,-740.205942,-9959.241474
884.059732,-1406.391290,-1554.432478,-9959.241474
884.060052,-1850.514855,-1628.453072,-10189.070123
884.060373,-1406.391290,-1406.391290,-9882.631924
884.060693,-444.123565,-1184.329507,-9729.412825
884.061013,-1480.411884,-740.205942,-9959.241474
884.061333,-1776.494261,-1258.350101,-9959.241474
884.061653,-1184.329507,-1332.370696,-9806.022374
884.061974,0.000000,-1110.308913,-10035.851024
884.062294,-518.144159,-1332.370696,-9729.412825
884.062614,-2294.638420,-2368.659014,-10112.460574
884.062934,-2738.761985,-3552.988522,-9729.412825
884.063254,-2294.638420,-3775.050304,-9806.022374
884.063575,-1184.329507,-3478.967927,-9806.022374
884.063895,-1702.473667,-3034.844362,-9806.022374
884.064215,-2294.638420,-2886.803174,-9882.631924
884.064535,-1850.514855,-2960.823768,-9806.022374
884.064855,0.000000,-2886.803174,-9882.631924
884.065176,1110.308913,-1628.453072,-10189.070123
884.065496,0.000000,-1554.432478,-10572.117872
884.065816,-1184.329507,-1480.411884,-10342.289223
884.066136,-2146.597232,-1850.514855,-10495.508323
884.066456,-2886.803174,-1702.473667,-10648.727422
884.066777,-4515.256246,-3108.864956,-9959.241474
884.067097,-5255.462188,-4219.173869,-9806.022374
884.067417,-4367.215058,-5255.462188,-9806.022374
884.067737,-1998.556043,-5699.585753,-9576.193725
884.068057,-296.082377,-4663.297435,-9806.022374
884.068378,444.123565,-2442.679609,-10189.070123
884.068698,444.123565,-444.123565,-10265.679673
884.069018,2146.597232,1036.288319,-10495.508323
884.069338,1554.432478,1184.329507,-10648.727422
884.069659,1036.288319,0.000000,-10495.508323
884.069979,-814.226536,-1776.494261,-10035.851024
884.070299,-2294.638420,-3478.967927,-10035.851024
884.070619,-3108.864956,-4811.338623,-9806.022374
884.070939,-5329.482782,-4219.173869,-9499.584175
884.071260,-5329.482782,-5107.421000,-9116.536426
884.071580,-3923.091493,-5847.626942,-9269.755526
884.071900,-814.226536,-5403.503377,-9806.022374
884.072220,1184.329507,-2812.782580,-10418.898773
884.072540,2072.576638,-740.205942,-10342.289223
884.072861,3256.906145,2146.597232,-10342.289223
884.073181,4441.235652,2960.823768,-10955.165621
884.073501,3256.906145,2886.803174,-12257.527968
884.073821,0.000000,592.164754,-10878.556072
884.074141,-4219.173869,-2146.597232,-10495.508323
884.074462,-5995.668130,-4589.276840,-9882.631924
884.074782,-5329.482782,-6513.812290,-9882.631924
884.075102,-4145.153275,-7179.997637,-9499.584175
884.075422,-3627.009116,-6291.750507,-9346.365076
884.075742,-2294.638420,-3552.988522,-9806.022374
884.076063,296.082377,148.041188,-10495.508323
884.076383,1258.350101,3552.988522,-10648.727422
884.076703,1850.514855,4367.215058,-10725.336972
884.077023,2072.576638,3552.988522,-10801.946522
884.077343,2146.597232,1184.329507,-10648.727422
884.077664,1406.391290,-592.164754,-10878.556072
884.077984,-1554.432478,-1776.494261,-9499.584175
884.078304,-4367.215058,-2442.679609,-9882.631924
884.078624,-4959.379811,-1998.556043,-9806.022374
884.078944,-5995.668130,-2590.720797,-9806.022374
884.079265,-7328.038826,-4589.276840,-8733.488677
884.079585,-6661.853478,-5847.626942,-8810.098227
884.079905,-2664.741391,-5773.606348,-9116.536426
884.080225,2146.597232,-3775.050304,-9422.974625
884.080545,4367.215058,-444.123565,-10035.851024
884.080866,3182.885551,2738.761985,-10342.289223
884.081186,1332.370696,4663.297435,-10112.460574
884.081506,1702.473667,4663.297435,-10801.946522
884.081826,1702.473667,2220.617826,-10725.336972
884.082146,-666.185348,-1110.308913,-11644.651570
884.082467,-4811.338623,-4145.153275,-10265.679673
884.082787,-7698.141797,-5329.482782,-10112.460574
884.083107,-8956.491898,-4589.276840,-9269.755526
