#time,accel_x,accel_y,accel_z
810.400332,-3330.926739,-4811.338623,-9269.755526
810.400652,-4071.132681,-4737.318029,-9806.022374
810.400972,-4441.235652,-3849.070898,-9193.145976
810.401292,-3256.906145,-3034.844362,-9652.803275
810.401612,-592.164754,-1776.494261,-9422.974625
810.401933,740.205942,-370.102971,-10112.460574
810.402253,2368.659014,518.144159,-10265.679673
810.402573,2812.782580,814.226536,-10648.727422
810.402893,1850.514855,1406.391290,-10418.898773
810.403213,0.000000,370.102971,-10495.508323
810.403533,-1480.411884,0.000000,-10495.508323
810.403854,-1924.535449,-666.185348,-10189.070123
810.404174,-1332.370696,-1110.308913,-10265.679673
810.404494,-888.247130,-1924.535449,-10189.070123
810.404814,-592.164754,-1998.556043,-10035.851024
810.405134,-518.144159,-1184.329507,-10035.851024
810.405454,-518.144159,0.000000,-10035.851024
810.405775,-296.082377,1850.514855,-10189.070123
810.406095,1110.308913,1776.494261,-10572.117872
810.406415,1554.432478,1332.370696,-10265.679673
810.406735,814.226536,148.041188,-10189.070123
810.407055,-296.082377,-1554.432478,-9806.022374
810.407375,-1332.370696,-2738.761985,-9422.974625
810.407695,-2294.638420,-3256.906145,-9806.022374
810.408016,-2516.700203,-2812.782580,-9652.803275
810.408336,-2886.803174,-2368.659014,-9576.193725
810.408656,-2664.741391,-2146.597232,-8503.660028
810.408976,-1998.556043,-2220.617826,-9422.974625
810.409296,-1406.391290,-1998.556043,-9806.022374
810.409616,-962.267725,-1406.391290,-9806.022374
810.409937,-1628.453072,-1406.391290,-9806.022374
810.410257,-1998.556043,-1332.370696,-9576.193725
810.410577,-2146.597232,-1184.329507,-9959.241474
810.410897,-1924.535449,-1628.453072,-10189.070123
810.411217,-2146.597232,-1776.494261,-9959.241474
810.411537,-2368.659014,-2368.659014,-9652.803275
810.411858,-3775.050304,-3034.844362,-10112.460574
810.412178,-3923.091493,-3034.844362,-9959.241474
810.412498,-4071.132681,-3478.967927,-10189.070123
810.412818,-4293.194464,-2590.720797,-9806.022374
810.413138,-4219.173869,-3330.926739,-9806.022374
810.413458,-3997.112087,-3627.009116,-9652.803275
810.413779,-2146.597232,-4663.297435,-9959.241474
810.414099,-370.102971,-4589.276840,-10035.851024
810.414419,1036.288319,-3330.926739,-10112.460574
810.414739,592.164754,-1628.453072,-10572.117872
810.415059,-370.102971,-148.041188,-10725.336972
810.415379,-814.226536,74.020594,-10495.508323
810.415700,-962.267725,-666.185348,-10265.679673
810.416020,-962.267725,-2368.659014,-10342.289223
810.416340,-1258.350101,-4367.215058,-10801.946522
810.416660,-1924.535449,-5403.503377,-10265.679673
810.416980,-2886.803174,-5255.462188,-10265.679673
810.417300,-3701.029710,-4515.256246,-9116.536426
810.417621,-2886.803174,-4145.153275,-9499.584175
810.417941,-518.144159,-3849.070898,-10035.851024
810.418261,1480.411884,-3256.906145,-10342.289223
810.418581,2590.720797,-2960.823768,-9499.584175
810.418901,2442.679609,-1258.350101,-10572.117872
810.419221,2664.741391,222.061783,-10342.289223
810.419541,2960.823768,666.185348,-10572.117872
810.419862,1184.329507,518.144159,-10495.508323
810.420182,-2146.597232,-444.123565,-10035.851024
810.420502,-5551.544565,-2664.741391,-9882.631924
810.420822,-5773.606348,-4885.359217,-9652.803275
810.421142,-3701.029710,-6217.729913,-9576.193725
810.421462,-1332.370696,-6661.853478,-9346.365076
810.421783,-1332.370696,-5699.585753,-9499.584175
810.422103,-592.164754,-3108.864956,-9806.022374
810.422423,814.226536,296.082377,-10265.679673
810.422743,1850.514855,3330.926739,-10418.898773
810.423063,1924.535449,3849.070898,-10878.556072
810.423383,1998.556043,2220.617826,-10342.289223
810.423704,1406.391290,-1184.329507,-10418.898773
810.424024,74.020594,-3034.844362,-10112.460574
810.424344,-2368.659014,-3552.988522,-9652.803275
810.424664,-4367.215058,-3034.844362,-9806.022374
810.424984,-5699.585753,-2590.720797,-9729.412825
810.425304,-6809.894666,-1924.535449,-9882.631924
810.425625,-5699.585753,0.000000,-8963.317327
810.425945,-3404.947333,-2590.720797,-10418.898773
810.426265,-2220.617826,-4959.379811,-9269.755526
810.426585,814.226536,-3330.926739,-9729.412825
810.426905,1628.453072,-444.123565,-10265.679673
810.427225,2294.638420,2812.782580,-10648.727422
810.427546,1628.453072,4441.235652,-10265.679673
810.427866,0.000000,4219.173869,-10878.556072
810.428186,-296.082377,1702.473667,-10418.898773
810.428506,-1406.391290,-1924.535449,-10189.070123
810.428826,-3182.885551,-4589.276840,-9882.631924
810.429146,-5403.503377,-4367.215058,-9652.803275
810.429466,-7105.977043,-4367.215058,-9193.145976
810.429787,-6143.709319,-3701.029710,-9346.365076
810.430107,-3108.864956,-2960.823768,-9422.974625
810.430427,0.000000,-2442.679609,-10112.460574
810.430747,2146.597232,-296.082377,-10801.946522
810.431067,1998.556043,1480.411884,-10418.898773
810.431387,2368.659014,2812.782580,-10878.556072
810.431708,1776.494261,3923.091493,-10955.165621
810.432028,2220.617826,3552.988522,-10495.508323
810.432348,666.185348,1332.370696,-11031.775171
810.432668,-2294.638420,-888.247130,-10418.898773
810.432988,-5995.668130,-2590.720797,-9882.631924
810.433308,-6069.688724,-4589.276840,-9882.631924
810.433628,-3552.988522,-5847.626942,-9346.365076
810.433948,-2368.659014,-6291.750507,-9729.412825
810.434269,-2590.720797,-4811.338623,-8810.098227
810.434589,-1554.432478,-2294.638420,-9499.584175
810.434909,1776.494261,666.185348,-10035.851024
810.435229,4293.194464,3182.885551,-9959.241474
810.435549,5403.503377,3256.906145,-10955.165621
810.435869,4145.153275,2368.659014,-11031.775171
810.436189,148.041188,0.000000,-10342.289223
810.436509,-3256.906145,-1554.432478,-9729.412825
810.436830,-4145.153275,-2590.720797,-9806.022374
810.437150,-2886.803174,-4441.235652,-9422.974625
810.437470,-2294.638420,-6143.709319,-9652.803275
810.437790,-4145.153275,-6883.915261,-9116.536426
810.438110,-3404.947333,-7105.977043,-8656.879127
810.438430,518.144159,-3552.988522,-9882.631924
810.438750,3552.988522,370.102971,-9959.241474
810.439071,2886.803174,3404.947333,-11261.603821
810.439391,296.082377,4071.132681,-9882.631924
810.439711,518.144159,1628.453072,-10955.165621
810.440031,4071.132681,0.000000,-9269.755526
810.440351,3478.967927,-666.185348,-11031.775171
810.440671,-1110.308913,-2072.576638,-10878.556072
810.440991,-4737.318029,-3775.050304,-9882.631924
810.441311,-4515.256246,-3627.009116,-9729.412825
810.441632,-1554.432478,-2664.741391,-9882.631924
810.441952,-296.082377,-814.226536,-10801.946522
810.442272,-370.102971,-1480.411884,-10342.289223
810.442592,740.205942,-1406.391290,-10035.851024
810.442912,4367.215058,444.123565,-11031.775171
810.443232,6587.832884,1850.514855,-11338.213370
810.443552,5995.668130,1628.453072,-11184.994271
810.443872,2664.741391,1924.535449,-10801.946522
810.444193,592.164754,2960.823768,-9729.412825
810.444513,1110.308913,3478.967927,-10878.556072
810.444833,592.164754,3182.885551,-10572.117872
810.445153,-1998.556043,0.000000,-10648.727422
810.445473,-4219.173869,-3552.988522,-8503.660028
810.445793,-4441.235652,-6957.935855,-8886.707777
810.446113,-814.226536,-6365.771101,-8580.269578
810.446433,814.226536,-3182.885551,-9269.755526
810.446754,2294.638420,592.164754,-9882.631924
810.447074,3923.091493,3997.112087,-9576.193725
810.447394,4811.338623,5181.441594,-10648.727422
810.447714,4885.359217,4811.338623,-9806.022374
810.448034,2960.823768,3701.029710,-10878.556072
810.448354,2960.823768,2220.617826,-9806.022374
810.448674,1184.329507,-666.185348,-9959.241474
810.448994,-740.205942,-3182.885551,-9422.974625
810.449315,-4959.379811,-2812.782580,-8963.317327
810.449635,-6365.771101,-2516.700203,-8810.098227
810.449955,-4219.173869,-666.185348,-7814.174080
810.450275,-1480.411884,666.185348,-9806.022374
810.450595,518.144159,1702.473667,-9729.412825
810.450915,518.144159,1184.329507,-10342.289223
810.451235,3330.926739,1184.329507,-9576.193725
810.451555,5477.523971,1184.329507,-10878.556072
810.451876,5181.441594,1702.473667,-10725.336972
810.452196,1480.411884,3034.844362,-10648.727422
810.452516,-592.164754,3182.885551,-10648.727422
810.452836,-814.226536,3849.070898,-11031.775171
810.453156,-1036.288319,1554.432478,-10801.946522
810.453476,-3256.906145,888.247130,-10495.508323
810.453796,-4367.215058,-1628.453072,-10112.460574
810.454116,-2368.659014,-2368.659014,-10878.556072
810.454437,518.144159,-2590.720797,-10265.679673
810.454757,1628.453072,-1480.411884,-10189.070123
810.455077,148.041188,1036.288319,-10189.070123
810.455397,888.247130,1258.350101,-10035.851024
810.455717,3923.091493,2960.823768,-10495.508323
810.456037,3701.029710,4071.132681,-10878.556072
810.456357,1628.453072,3701.029710,-10418.898773
810.456677,1628.453072,740.205942,-10112.460574
810.456998,2072.576638,148.041188,-9039.926876
810.457318,1332.370696,-2072.576638,-9576.193725
810.457638,-666.185348,-3256.906145,-9269.755526
810.457958,-1924.535449,-2442.679609,-9499.584175
810.458278,-370.102971,-1850.514855,-8810.098227
810.458598,1258.350101,-888.247130,-9806.022374
810.458918,1332.370696,74.020594,-10265.679673
810.459238,-370.102971,1850.514855,-10112.460574
810.459559,0.000000,1554.432478,-10265.679673
810.459879,2738.761985,1480.411884,-9806.022374
810.460199,4663.297435,1110.308913,-10572.117872
810.460519,2442.679609,296.082377,-10189.070123
810.460839,-222.061783,-814.226536,-10418.898773
810.461159,-814.226536,-666.185348,-10189.070123
810.461479,-1258.350101,-1110.308913,-10725.336972
810.461799,-592.164754,-1036.288319,-10342.289223
810.462120,-2664.741391,-1480.411884,-10495.508323
810.462440,-2146.597232,-1924.535449,-10189.070123
810.462760,0.000000,-1406.391290,-11261.603821
810.463080,2368.659014,-1850.514855,-11184.994271
810.463400,1406.391290,-592.164754,-10189.070123
810.463720,0.000000,0.000000,-10495.508323
810.464040,444.123565,1406.391290,-10112.460574
810.464360,2072.576638,1628.453072,-11491.432470
810.464681,814.226536,1258.350101,-10955.165621
810.465001,-1036.288319,296.082377,-10189.070123
810.465321,-1628.453072,-1036.288319,-9882.631924
810.465641,-666.185348,-2294.638420,-9806.022374
810.465961,-962.267725,-3552.988522,-9959.241474
810.466281,-1776.494261,-3108.864956,-9346.365076
810.466601,-1702.473667,-2960.823768,-9346.365076
810.466921,740.205942,-592.164754,-9193.145976
810.467242,1776.494261,74.020594,-10725.336972
810.467562,814.226536,1480.411884,-10035.851024
810.467882,148.041188,814.226536,-9959.241474
810.468202,592.164754,148.041188,-9806.022374
810.468522,3034.844362,-148.041188,-9882.631924
810.468842,1924.535449,666.185348,-10572.117872
810.469162,-296.082377,1332.370696,-10035.851024
810.469483,-1776.494261,-814.226536,-10189.070123
810.469803,-518.144159,-592.164754,-9499.584175
810.470123,-370.102971,0.000000,-10418.898773
810.470443,-888.247130,518.144159,-10495.508323
810.470763,-592.164754,518.144159,-9806.022374
810.471083,1036.288319,1776.494261,-10801.946522
810.471403,1184.329507,2442.679609,-10495.508323
810.471723,1924.535449,2590.720797,-10572.117872
810.472044,1036.288319,1998.556043,-10265.679673
810.472364,2664.741391,888.247130,-10572.117872
810.472684,3478.967927,1184.329507,-10189.070123
810.473004,2368.659014,1776.494261,-11108.384721
810.473324,-444.123565,2812.782580,-10418.898773
810.473644,-1628.453072,962.267725,-10495.508323
810.473964,296.082377,370.102971,-9806.022374
810.474284,814.226536,-666.185348,-10189.070123
810.474605,0.000000,-1036.288319,-9806.022374
810.474925,-222.061783,-444.123565,-10035.851024
810.475245,1776.494261,296.082377,-9806.022374
810.475565,3034.844362,1850.514855,-9806.022374
810.475885,1850.514855,1998.556043,-10342.289223
810.476205,0.000000,2368.659014,-9959.241474
810.476525,222.061783,1924.535449,-9959.241474
810.476845,1554.432478,2516.700203,-10265.679673
810.477166,1924.535449,222.061783,-9806.022374
810.477486,518.144159,-1184.329507,-9652.803275
810.477806,-666.185348,-2886.803174,-8963.317327
810.478126,-518.144159,-3108.864956,-8810.098227
810.478446,0.000000,-740.205942,-9193.145976
810.478766,-666.185348,518.144159,-9576.193725
810.479086,-888.247130,2146.597232,-9729.412825
810.479406,-666.185348,1480.411884,-9806.022374
810.479727,740.205942,888.247130,-9269.755526
810.480047,2146.597232,-444.123565,-9806.022374
810.480367,2294.638420,-814.226536,-9959.241474
810.480687,1554.432478,-370.102971,-10112.460574
810.481007,1850.514855,0.000000,-10035.851024
810.481327,1110.308913,-1480.411884,-10572.117872
810.481647,-370.102971,74.020594,-9959.241474
810.481967,-3182.885551,1036.288319,-10648.727422
810.482288,-2664.741391,962.267725,-10189.070123
810.482608,148.041188,-370.102971,-9882.631924
810.482928,1480.411884,-518.144159,-10648.727422
810.483248,1628.453072,-592.164754,-9959.241474
810.483568,740.205942,-1406.391290,-10572.117872
810.483888,2072.576638,-666.185348,-9882.631924
810.484208,2886.803174,-296.082377,-10801.946522
810.484528,1258.350101,1406.391290,-10418.898773
810.484849,-1184.329507,2368.659014,-10725.336972
810.485169,-518.144159,2442.679609,-10495.508323
810.485489,592.164754,888.247130,-8963.317327
810.485809,1406.391290,-1702.473667,-10265.679673
810.486129,370.102971,-3034.844362,-9652.803275
810.486449,1036.288319,-3182.885551,-9882.631924
810.486769,962.267725,-1258.350101,-9806.022374
810.487089,444.123565,-1184.329507,-9499.584175
810.487410,-962.267725,222.061783,-9652.803275
810.487730,-2738.761985,296.082377,-9882.631924
810.488050,0.000000,1184.329507,-9576.193725
810.488370,2590.720797,2072.576638,-10112.460574
810.488690,2886.803174,444.123565,-10265.679673
810.489010,1480.411884,-296.082377,-10189.070123
810.489330,444.123565,-1332.370696,-9576.193725
810.489650,148.041188,-814.226536,-9729.412825
810.489971,740.205942,-296.082377,-9882.631924
810.490291,-222.061783,-222.061783,-9882.631924
810.490611,-1850.514855,-148.041188,-9882.631924
810.490931,-518.144159,-370.102971,-9729.412825
810.491251,740.205942,0.000000,-10189.070123
810.491571,1406.391290,370.102971,-9959.241474
810.491891,296.082377,0.000000,-10418.898773
810.492211,1480.411884,666.185348,-9806.022374
810.492532,888.247130,1850.514855,-10418.898773
810.492852,-148.041188,2220.617826,-11031.775171
810.493172,-2368.659014,1850.514855,-10112.460574
810.493492,-2960.823768,0.000000,-10265.679673
810.493812,-666.185348,-1036.288319,-9806.022374
810.494132,888.247130,-1480.411884,-10418.898773
810.494452,814.226536,0.000000,-10342.289223
810.494772,-296.082377,-296.082377,-10418.898773
810.495093,592.164754,1184.329507,-10342.289223
810.495413,1332.370696,2146.597232,-10342.289223
810.495733,1036.288319,1406.391290,-10572.117872
810.496053,-444.123565,1776.494261,-10035.851024
810.496373,0.000000,1332.370696,-10112.460574
810.496693,2072.576638,592.164754,-9729.412825
810.497013,2220.617826,370.102971,-9882.631924
810.497334,1406.391290,888.247130,-9882.631924
810.497654,-518.144159,0.000000,-9576.193725
810.497974,370.102971,666.185348,-9269.755526
810.498294,518.144159,518.144159,-9806.022374
810.498614,592.164754,1258.350101,-9576.193725
810.498934,-370.102971,740.205942,-9499.584175
810.499254,296.082377,370.102971,-9499.584175
810.499574,1998.556043,370.102971,-9422.974625
810.499895,2590.720797,222.061783,-9959.241474
810.500215,1998.556043,1628.453072,-9806.022374
810.500535,2590.720797,1850.514855,-10342.289223
810.500855,3330.926739,2442.679609,-10035.851024
810.501175,2812.782580,2294.638420,-12104.308868
810.501495,1406.391290,2442.679609,-10189.070123
810.501815,-740.205942,1036.288319,-10495.508323
810.502135,-370.102971,666.185348,-10035.851024
810.502456,592.164754,814.226536,-10572.117872
810.502776,222.061783,-74.020594,-11261.603821
810.503096,-888.247130,518.144159,-9806.022374
810.503416,0.000000,1332.370696,-10342.289223
810.503736,2220.617826,2146.597232,-10035.851024
810.504056,3256.906145,962.267725,-10495.508323
810.504376,1184.329507,2294.638420,-10112.460574
810.504696,-444.123565,814.226536,-10035.851024
810.505017,1110.308913,296.082377,-9806.022374
810.505337,2738.761985,-296.082377,-10189.070123
810.505657,2516.700203,-518.144159,-10342.289223
810.505977,-296.082377,-370.102971,-9576.193725
810.506297,-370.102971,-148.041188,-9806.022374
810.506617,0.000000,1554.432478,-9806.022374
810.506937,-1036.288319,1406.391290,-10342.289223
810.507257,-1998.556043,1258.350101,-9422.974625
810.507578,-2072.576638,0.000000,-9806.022374
810.507898,222.061783,-222.061783,-9652.803275
810.508218,1554.432478,-296.082377,-10112.460574
810.508538,888.247130,74.020594,-10035.851024
810.508858,-740.205942,222.061783,-10342.289223
810.509178,-518.144159,1184.329507,-9959.241474
810.509498,518.144159,1110.308913,-10035.851024
810.509818,1258.350101,740.205942,-10878.556072
810.510139,-1554.432478,0.000000,-9806.022374
810.510459,-1924.535449,-444.123565,-10189.070123
810.510779,518.144159,-814.226536,-9806.022374
810.511099,1702.473667,-1258.350101,-10418.898773
810.511419,1480.411884,-1036.288319,-10035.851024
810.511739,-148.041188,-518.144159,-10342.289223
810.512059,1110.308913,1406.391290,-9729.412825
810.512379,2220.617826,1628.453072,-10572.117872
810.512700,2664.741391,962.267725,-10035.851024
810.513020,1184.329507,370.102971,-10189.070123
810.513340,1036.288319,-962.267725,-10265.679673
810.513660,814.226536,-1924.535449,-9576.193725
810.513980,1184.329507,-1702.473667,-10035.851024
810.514300,0.000000,-148.041188,-9729.412825
810.514620,-962.267725,148.041188,-10495.508323
810.514940,444.123565,296.082377,-9576.193725
810.515261,2072.576638,-296.082377,-10725.336972
810.515581,2590.720797,-888.247130,-9729.412825
810.515901,74.020594,-1776.494261,-9882.631924
810.516221,148.041188,-2220.617826,-9576.193725
810.516541,740.205942,-370.102971,-9576.193725
810.516861,740.205942,666.185348,-10189.070123
810.517181,666.185348,888.247130,-9959.241474
810.517501,0.000000,148.041188,-9806.022374
810.517822,666.185348,518.144159,-9882.631924
810.518142,962.267725,-962.267725,-10189.070123
810.518462,592.164754,-814.226536,-9806.022374
810.518782,-740.205942,-1332.370696,-9959.241474
810.519102,-518.144159,-1036.288319,-9882.631924
810.519422,-148.041188,-814.226536,-9652.803275
810.519742,148.041188,0.000000,-10572.117872
810.520062,-962.267725,148.041188,-9959.241474
810.520383,-444.123565,-222.061783,-10265.679673
810.520703,1110.308913,666.185348,-9959.241474
810.521023,1184.329507,-740.205942,-10418.898773
810.521343,222.061783,222.061783,-10495.508323
810.521663,-1850.514855,-296.082377,-10189.070123
810.521983,-1184.329507,74.020594,-10112.460574
810.522303,-296.082377,0.000000,-10418.898773
810.522623,-370.102971,444.123565,-10572.117872
810.522944,-2146.597232,1554.432478,-10418.898773
