#time,accel_x,accel_y,accel_z
819.330056,518.144159,0.000000,-10035.851024
819.330376,444.123565,0.000000,-9882.631924
819.330696,518.144159,148.041188,-9806.022374
819.331016,518.144159,740.205942,-9959.241474
819.331336,296.082377,1184.329507,-10112.460574
819.331656,444.123565,444.123565,-9959.241474
819.331975,666.185348,0.000000,-9959.241474
819.332295,592.164754,-148.041188,-10189.070123
819.332615,814.226536,-222.061783,-9882.631924
819.332935,444.123565,370.102971,-10112.460574
819.333255,444.123565,888.247130,-10112.460574
819.333575,518.144159,888.247130,-9346.365076
819.333895,444.123565,518.144159,-10112.460574
819.334215,370.102971,0.000000,-10112.460574
819.334535,444.123565,-444.123565,-10035.851024
819.334854,296.082377,0.000000,-10265.679673
819.335174,592.164754,0.000000,-10112.460574
819.335494,592.164754,444.123565,-9959.241474
819.335814,518.144159,962.267725,-10112.460574
819.336134,962.267725,814.226536,-10189.070123
819.336454,1036.288319,296.082377,-10189.070123
819.336774,148.041188,-444.123565,-10112.460574
819.337094,222.061783,-592.164754,-9806.022374
819.337413,370.102971,0.000000,-10112.460574
819.337733,592.164754,370.102971,-10342.289223
819.338053,74.020594,518.144159,-9882.631924
819.338373,444.123565,74.020594,-9959.241474
819.338693,666.185348,74.020594,-10035.851024
819.339013,740.205942,-444.123565,-10265.679673
819.339333,296.082377,0.000000,-11491.432470
819.339653,148.041188,0.000000,-10189.070123
819.339972,444.123565,0.000000,-9806.022374
819.340292,666.185348,-148.041188,-9959.241474
819.340612,0.000000,-370.102971,-10265.679673
819.340932,-444.123565,-666.185348,-10342.289223
819.341252,0.000000,-888.247130,-10265.679673
819.341572,592.164754,-888.247130,-9806.022374
819.341892,74.020594,-222.061783,-9959.241474
819.342212,-1110.308913,0.000000,-9959.241474
819.342532,-444.123565,-592.164754,-9959.241474
819.342851,74.020594,-814.226536,-9959.241474
819.343171,-666.185348,-962.267725,-10189.070123
819.343491,-1184.329507,-1628.453072,-9882.631924
819.343811,-1258.350101,-1628.453072,-9959.241474
819.344131,-518.144159,-1480.411884,-9959.241474
819.344451,-1258.350101,-1258.350101,-9806.022374
819.344771,-2294.638420,-1554.432478,-10342.289223
819.345091,-1850.514855,-1702.473667,-9882.631924
819.345410,-740.205942,-1776.494261,-10035.851024
819.345730,-666.185348,-1480.411884,-10035.851024
819.346050,-1554.432478,-1850.514855,-10112.460574
819.346370,-1776.494261,-2072.576638,-9959.241474
819.346690,-962.267725,-1924.535449,-9806.022374
819.347010,-962.267725,-1036.288319,-10265.679673
819.347330,-1776.494261,-1332.370696,-10112.460574
819.347650,-3108.864956,-2294.638420,-10265.679673
819.347969,-3552.988522,-2664.741391,-9806.022374
819.348289,-2812.782580,-3182.885551,-10189.070123
819.348609,-2368.659014,-3182.885551,-9882.631924
819.348929,-2664.741391,-3034.844362,-10112.460574
819.349249,-2590.720797,-2886.803174,-9882.631924
819.349569,-1628.453072,-2664.741391,-10112.460574
819.349889,148.041188,-1998.556043,-10112.460574
819.350209,518.144159,-1332.370696,-10189.070123
819.350528,-148.041188,-1184.329507,-10725.336972
819.350848,-1776.494261,-888.247130,-11031.775171
819.351168,-2886.803174,-1406.391290,-10035.851024
819.351488,-4515.256246,-2072.576638,-10035.851024
819.351808,-5477.523971,-3182.885551,-9576.193725
819.352128,-5329.482782,-4811.338623,-9652.803275
819.352448,-3552.988522,-5551.544565,-9422.974625
819.352768,-1036.288319,-4737.318029,-9959.241474
819.353088,740.205942,-3552.988522,-10342.289223
819.353407,1332.370696,-1406.391290,-10189.070123
819.353727,1702.473667,888.247130,-10418.898773
819.354047,2664.741391,1924.535449,-10342.289223
819.354367,2664.741391,2072.576638,-10878.556072
819.354687,1258.350101,740.205942,-10418.898773
819.355007,-740.205942,-1184.329507,-10265.679673
819.355327,-2368.659014,-2664.741391,-9882.631924
819.355647,-4441.235652,-3256.906145,-9806.022374
819.355966,-5181.441594,-4663.297435,-9346.365076
