#time,accel_x,accel_y,accel_z
841.496647,222.061783,296.082377,-10189.070123
841.496967,222.061783,296.082377,-10495.508323
841.497287,296.082377,444.123565,-10112.460574
841.497607,296.082377,222.061783,-9959.241474
841.497927,444.123565,518.144159,-10112.460574
841.498247,592.164754,518.144159,-9882.631924
841.498567,740.205942,148.041188,-9959.241474
841.498887,814.226536,222.061783,-9882.631924
841.499207,518.144159,518.144159,-9806.022374
841.499527,296.082377,370.102971,-9959.241474
841.499847,0.000000,74.020594,-9959.241474
841.500167,74.020594,222.061783,-10035.851024
841.500487,148.041188,148.041188,-10035.851024
841.500807,296.082377,0.000000,-10035.851024
841.501127,666.185348,74.020594,-9959.241474
841.501447,518.144159,370.102971,-10342.289223
841.501767,740.205942,666.185348,-10725.336972
841.502087,888.247130,222.061783,-10189.070123
841.502407,666.185348,296.082377,-10035.851024
841.502727,444.123565,148.041188,-9959.241474
841.503047,148.041188,0.000000,-9422.974625
841.503367,0.000000,74.020594,-9959.241474
841.503687,0.000000,370.102971,-10342.289223
841.504007,148.041188,888.247130,-10342.289223
841.504327,444.123565,740.205942,-10035.851024
841.504647,296.082377,444.123565,-10189.070123
841.504967,444.123565,74.020594,-10189.070123
841.505287,518.144159,74.020594,-10265.679673
841.505607,740.205942,0.000000,-10112.460574
841.505927,370.102971,-148.041188,-10342.289223
841.506247,-148.041188,-222.061783,-10112.460574
841.506567,0.000000,-518.144159,-10035.851024
841.506887,74.020594,-444.123565,-9806.022374
841.507207,-518.144159,-518.144159,-10112.460574
841.507528,-888.247130,-296.082377,-10035.851024
841.507848,-666.185348,-518.144159,-10035.851024
841.508168,-296.082377,-370.102971,-9882.631924
841.508488,-888.247130,-296.082377,-10189.070123
841.508808,-888.247130,-592.164754,-11568.042020
841.509128,-444.123565,-1036.288319,-10035.851024
841.509448,-222.061783,-1110.308913,-9959.241474
841.509768,-962.267725,-1184.329507,-9806.022374
841.510088,-1850.514855,-1702.473667,-10112.460574
841.510408,-1702.473667,-1258.350101,-9959.241474
841.510728,-1036.288319,-1406.391290,-9882.631924
841.511048,-1184.329507,-888.247130,-9882.631924
841.511368,-1850.514855,-1628.453072,-10112.460574
841.511688,-2442.679609,-1332.370696,-9806.022374
841.512008,-1036.288319,-1924.535449,-9806.022374
841.512328,-444.123565,-1184.329507,-9882.631924
841.512648,-1332.370696,-1628.453072,-10112.460574
